"country_name","regional_indicator","ladder_score","standard_error_of_ladder_score","upperwhisker","lowerwhisker","logged_gdp_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","generosity","perceptions_of_corruption","ladder_score_in_dystopia","explained_by_log_gdp_per_capita","explained_by_social_support","explained_by_healthy_life_expectancy","explained_by_freedom_to_make_life_choices","explained_by_generosity","explained_by_perceptions_of_corruption","dystopia_residual","year"
"Czech Republic","Central and Eastern Europe",6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,"2021"
"United States","North America and ANZ",6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807,"2021"
"Belgium","Western Europe",6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,"2021"
"France","Western Europe",6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,"2021"
"Bahrain","Middle East and North Africa",6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,"2021"
"Malta","Western Europe",6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,"2021"
"Taiwan Province of China","East Asia",6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,"2021"
"United Arab Emirates","Middle East and North Africa",6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,"2021"
"Saudi Arabia","Middle East and North Africa",6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,"2021"
"Spain","Western Europe",6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,"2021"
"Italy","Western Europe",6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,"2021"
"Slovenia","Central and Eastern Europe",6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,"2021"
"Guatemala","Latin America and Caribbean",6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,"2021"
"Uruguay","Latin America and Caribbean",6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,"2021"
"Singapore","Southeast Asia",6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,"2021"
"Kosovo","Central and Eastern Europe",6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,"2021"
"Slovakia","Central and Eastern Europe",6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,"2021"
"Brazil","Latin America and Caribbean",6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,"2021"
"Mexico","Latin America and Caribbean",6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,"2021"
"Jamaica","Latin America and Caribbean",6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,"2021"
"Lithuania","Central and Eastern Europe",6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,"2021"
"Cyprus","Western Europe",6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,"2021"
"Estonia","Central and Eastern Europe",6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,"2021"
"Panama","Latin America and Caribbean",6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,"2021"
"Uzbekistan","Commonwealth of Independent States",6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,"2021"
"Chile","Latin America and Caribbean",6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,"2021"
"Poland","Central and Eastern Europe",6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,"2021"
"Kazakhstan","Commonwealth of Independent States",6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,"2021"
"Romania","Central and Eastern Europe",6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,"2021"
"Kuwait","Middle East and North Africa",6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,"2021"
"Serbia","Central and Eastern Europe",6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,"2021"
"El Salvador","Latin America and Caribbean",6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,"2021"
"Mauritius","Sub-Saharan Africa",6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,"2021"
"Latvia","Central and Eastern Europe",6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,"2021"
"Colombia","Latin America and Caribbean",6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,"2021"
"Hungary","Central and Eastern Europe",5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,"2021"
"Thailand","Southeast Asia",5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,"2021"
"Nicaragua","Latin America and Caribbean",5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,"2021"
"Japan","East Asia",5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,"2021"
"Argentina","Latin America and Caribbean",5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,"2021"
"Portugal","Western Europe",5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,"2021"
"Honduras","Latin America and Caribbean",5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,"2021"
"Croatia","Central and Eastern Europe",5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0,2.325,"2021"
"Philippines","Southeast Asia",5.88,0.052,5.982,5.778,9.076,0.83,62,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,"2021"
"South Korea","East Asia",5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,"2021"
"Peru","Latin America and Caribbean",5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,"2021"
"Bosnia and Herzegovina","Central and Eastern Europe",5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,"2021"
"Moldova","Commonwealth of Independent States",5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,"2021"
"Ecuador","Latin America and Caribbean",5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,"2021"
"Kyrgyzstan","Commonwealth of Independent States",5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,"2021"
"Greece","Western Europe",5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0,0.074,2.561,"2021"
"Bolivia","Latin America and Caribbean",5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,"2021"
"Mongolia","East Asia",5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,"2021"
"Paraguay","Latin America and Caribbean",5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,"2021"
"Montenegro","Central and Eastern Europe",5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,"2021"
"Dominican Republic","Latin America and Caribbean",5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,"2021"
"North Cyprus","Western Europe",5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,"2021"
"Belarus","Commonwealth of Independent States",5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,"2021"
"Russia","Commonwealth of Independent States",5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,"2021"
"Hong Kong S.A.R. of China","East Asia",5.477,0.049,5.573,5.38,11,0.836,76.82,0.717,0.067,0.403,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,"2021"
"Tajikistan","Commonwealth of Independent States",5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,"2021"
"Vietnam","Southeast Asia",5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,"2021"
"Libya","Middle East and North Africa",5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,"2021"
"Malaysia","Southeast Asia",5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,"2021"
"Indonesia","Southeast Asia",5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,"2021"
"Congo (Brazzaville)","Sub-Saharan Africa",5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,"2021"
"China","East Asia",5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,"2021"
"Ivory Coast","Sub-Saharan Africa",5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,"2021"
"Armenia","Commonwealth of Independent States",5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,"2021"
"Nepal","South Asia",5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,"2021"
"Bulgaria","Central and Eastern Europe",5.266,0.054,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,"2021"
"Maldives","South Asia",5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,"2021"
"Azerbaijan","Commonwealth of Independent States",5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,"2021"
"Cameroon","Sub-Saharan Africa",5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,"2021"
"Senegal","Sub-Saharan Africa",5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,"2021"
"Albania","Central and Eastern Europe",5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,"2021"
"North Macedonia","Central and Eastern Europe",5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,"2021"
"Ghana","Sub-Saharan Africa",5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,"2021"
"Niger","Sub-Saharan Africa",5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,"2021"
"Turkmenistan","Commonwealth of Independent States",5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,"2021"
"Gambia","Sub-Saharan Africa",5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,"2021"
"Benin","Sub-Saharan Africa",5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,"2021"
"Laos","Southeast Asia",5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,"2021"
"Bangladesh","South Asia",5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.041,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.164,2.427,"2021"
"Guinea","Sub-Saharan Africa",4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,"2021"
"South Africa","Sub-Saharan Africa",4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,"2021"
"Turkey","Middle East and North Africa",4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,"2021"
"Pakistan","South Asia",4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,"2021"
"Morocco","Middle East and North Africa",4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,"2021"
"Venezuela","Latin America and Caribbean",4.892,0.064,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,0.827,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135,"2021"
"Georgia","Commonwealth of Independent States",4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,"2021"
"Algeria","Middle East and North Africa",4.887,0.053,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.119,0.144,0.12,2.242,"2021"
"Ukraine","Commonwealth of Independent States",4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,"2021"
"Iraq","Middle East and North Africa",4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,"2021"
"Gabon","Sub-Saharan Africa",4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,"2021"
"Burkina Faso","Sub-Saharan Africa",4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,"2021"
"Cambodia","Southeast Asia",4.83,0.067,4.963,4.698,8.36,0.765,62,0.959,0.034,0.843,2.43,0.603,0.68,0.426,0.702,0.21,0.061,2.148,"2021"
"Mozambique","Sub-Saharan Africa",4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,"2021"
"Nigeria","Sub-Saharan Africa",4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,"2021"
"Mali","Sub-Saharan Africa",4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,"2021"
"Iran","Middle East and North Africa",4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,"2021"
"Uganda","Sub-Saharan Africa",4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,"2021"
"Liberia","Sub-Saharan Africa",4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,"2021"
"Kenya","Sub-Saharan Africa",4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,"2021"
"Tunisia","Middle East and North Africa",4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,"2021"
"Lebanon","Middle East and North Africa",4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,"2021"
"Namibia","Sub-Saharan Africa",4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,"2021"
"Palestinian Territories","Middle East and North Africa",4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,"2021"
"Myanmar","Southeast Asia",4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,"2021"
"Jordan","Middle East and North Africa",4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,"2021"
"Chad","Sub-Saharan Africa",4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0,0.24,0.215,0.084,3.209,"2021"
"Sri Lanka","South Asia",4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,"2021"
"Swaziland","Sub-Saharan Africa",4.308,0.071,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,0.708,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,"2021"
"Comoros","Sub-Saharan Africa",4.289,0.084,4.454,4.123,8.031,0.626,57.349,0.548,0.082,0.781,2.43,0.488,0.367,0.279,0.202,0.241,0.101,2.61,"2021"
"Egypt","Middle East and North Africa",4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,"2021"
"Ethiopia","Sub-Saharan Africa",4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,"2021"
"Mauritania","Sub-Saharan Africa",4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,"2021"
"Madagascar","Sub-Saharan Africa",4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,"2021"
"Togo","Sub-Saharan Africa",4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,"2021"
"Zambia","Sub-Saharan Africa",4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,"2021"
"Sierra Leone","Sub-Saharan Africa",3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,"2021"
"India","South Asia",3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,"2021"
"Burundi","Sub-Saharan Africa",3.775,0.107,3.985,3.565,6.635,0.49,53.4,0.626,-0.024,0.607,2.43,0,0.062,0.155,0.298,0.172,0.212,2.876,"2021"
"Yemen","Middle East and North Africa",3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776,"2021"
"Tanzania","Sub-Saharan Africa",3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263,"2021"
"Haiti","Latin America and Caribbean",3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,"2021"
"Malawi","Sub-Saharan Africa",3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,"2021"
"Lesotho","Sub-Saharan Africa",3.512,0.12,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,0.915,2.43,0.451,0.731,0.007,0.405,0.103,0.015,1.8,"2021"
"Botswana","Sub-Saharan Africa",3.467,0.074,3.611,3.322,9.782,0.784,59.269,0.824,-0.246,0.801,2.43,1.099,0.724,0.34,0.539,0.027,0.088,0.648,"2021"
"Rwanda","Sub-Saharan Africa",3.415,0.068,3.548,3.282,7.676,0.552,61.4,0.897,0.061,0.167,2.43,0.364,0.202,0.407,0.627,0.227,0.493,1.095,"2021"
"Zimbabwe","Sub-Saharan Africa",3.145,0.058,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821,2.43,0.457,0.649,0.243,0.359,0.157,0.075,1.205,"2021"
"Afghanistan","South Asia",2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0,0.126,0,0.122,0.01,1.895,"2021"
"Finland","Western Europe",7.808700085,0.031156305,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,"2020"
"Denmark","Western Europe",7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,"2020"
"Switzerland","Western Europe",7.559899807,0.035014171,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,"2020"
"Iceland","Western Europe",7.504499912,0.059615862,7.621346951,7.387652874,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,"2020"
"Norway","Western Europe",7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,"2020"
"Netherlands","Western Europe",7.448900223,0.02779175,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.972316742,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,"2020"
"Sweden","Western Europe",7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,"2020"
"New Zealand","North America and ANZ",7.299600124,0.039465468,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,"2020"
"Austria","Western Europe",7.294199944,0.033365164,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,"2020"
"Luxembourg","Western Europe",7.237500191,0.030851794,7.297969818,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1.972316742,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,"2020"
